y, x, f(x)
1.33843,0.291498,1.33843
1.3391,0.291998,1.3391
1.33977,0.292498,1.33977
1.34044,0.292998,1.34044
1.34111,0.293498,1.34111
1.34178,0.293998,1.34178
1.34245,0.294498,1.34245
1.34313,0.294998,1.34313
1.3438,0.295498,1.3438
1.34447,0.295998,1.34447
1.34514,0.296498,1.34514
1.34582,0.296998,1.34582
1.34649,0.297498,1.34649
1.34716,0.297998,1.34716
1.34784,0.298498,1.34784
1.34851,0.298998,1.34851
1.34918,0.299498,1.34918
1.34986,0.299998,1.34986
1.35053,0.300498,1.35053
1.35121,0.300998,1.35121
1.35188,0.301498,1.35188
1.35256,0.301998,1.35256
1.35324,0.302498,1.35324
1.35391,0.302998,1.35391
1.35459,0.303498,1.35459
1.35527,0.303998,1.35527
1.35595,0.304498,1.35595
1.35662,0.304998,1.35662
1.3573,0.305498,1.3573
1.35798,0.305998,1.35798
1.35866,0.306498,1.35866
1.35934,0.306998,1.35934
1.36002,0.307498,1.36002
1.3607,0.307998,1.3607
1.36138,0.308498,1.36138
1.36206,0.308998,1.36206
1.36274,0.309498,1.36274
1.36342,0.309998,1.36342
1.36411,0.310498,1.36411
1.36479,0.310998,1.36479
1.36547,0.311498,1.36547
1.36615,0.311998,1.36615
1.36684,0.312498,1.36684
1.36752,0.312998,1.36752
1.36821,0.313498,1.36821
1.36889,0.313998,1.36889
1.36957,0.314498,1.36957
1.37026,0.314998,1.37026
1.37094,0.315498,1.37094
1.37163,0.315998,1.37163
1.37232,0.316498,1.37232
1.373,0.316998,1.373
1.37369,0.317498,1.37369
1.37438,0.317998,1.37438
1.37506,0.318498,1.37506
1.37575,0.318998,1.37575
1.37644,0.319498,1.37644
1.37713,0.319998,1.37713
1.37782,0.320498,1.37782
1.37851,0.320998,1.37851
1.37919,0.321498,1.37919
1.37988,0.321998,1.37988
1.38057,0.322498,1.38057
1.38127,0.322998,1.38127
1.38196,0.323498,1.38196
1.38265,0.323998,1.38265
1.38334,0.324498,1.38334
1.38403,0.324998,1.38403
1.38472,0.325498,1.38472
1.38542,0.325998,1.38542
1.38611,0.326498,1.38611
1.3868,0.326998,1.3868
1.38749,0.327498,1.38749
1.38819,0.327998,1.38819
1.38888,0.328498,1.38888
1.38958,0.328998,1.38958
1.39027,0.329498,1.39027
1.39097,0.329998,1.39097
1.39166,0.330498,1.39166
1.39236,0.330998,1.39236
1.39306,0.331498,1.39306
1.39375,0.331998,1.39375
1.39445,0.332498,1.39445
1.39515,0.332998,1.39515
1.39584,0.333497,1.39584
1.39654,0.333997,1.39654
1.39724,0.334497,1.39724
1.39794,0.334997,1.39794
1.39864,0.335497,1.39864
1.39934,0.335997,1.39934
1.40004,0.336497,1.40004
1.40074,0.336997,1.40074
1.40144,0.337497,1.40144
1.40214,0.337997,1.40214
1.40284,0.338497,1.40284
1.40354,0.338997,1.40354
1.40425,0.339497,1.40425
1.40495,0.339997,1.40495
1.40565,0.340497,1.40565
1.40635,0.340997,1.40635
1.40706,0.341497,1.40706
1.40776,0.341997,1.40776
1.40846,0.342497,1.40846
1.40917,0.342997,1.40917
1.40987,0.343497,1.40987
1.41058,0.343997,1.41058
1.41128,0.344497,1.41128
1.41199,0.344997,1.41199
1.4127,0.345497,1.4127
1.4134,0.345997,1.4134
1.41411,0.346497,1.41411
1.41482,0.346997,1.41482
1.41552,0.347497,1.41552
1.41623,0.347997,1.41623
1.41694,0.348497,1.41694
1.41765,0.348997,1.41765
1.41836,0.349497,1.41836
1.41907,0.349997,1.41907
1.41978,0.350497,1.41978
1.42049,0.350997,1.42049
1.4212,0.351497,1.4212
1.42191,0.351997,1.42191
1.42262,0.352497,1.42262
1.42333,0.352997,1.42333
1.42404,0.353497,1.42404
1.42475,0.353997,1.42475
1.42547,0.354497,1.42547
1.42618,0.354997,1.42618
1.42689,0.355497,1.42689
1.42761,0.355997,1.42761
1.42832,0.356497,1.42832
1.42904,0.356997,1.42904
1.42975,0.357497,1.42975
1.43046,0.357997,1.43046
1.43118,0.358497,1.43118
1.4319,0.358997,1.4319
1.43261,0.359497,1.43261
1.43333,0.359997,1.43333
1.43405,0.360497,1.43405
1.43476,0.360997,1.43476
1.43548,0.361497,1.43548
1.4362,0.361997,1.4362
1.43692,0.362497,1.43692
1.43763,0.362997,1.43763
1.43835,0.363497,1.43835
1.43907,0.363997,1.43907
1.43979,0.364497,1.43979
1.44051,0.364997,1.44051
1.44123,0.365497,1.44123
1.44195,0.365997,1.44195
1.44268,0.366497,1.44268
1.4434,0.366997,1.4434
1.44412,0.367497,1.44412
1.44484,0.367997,1.44484
1.44556,0.368497,1.44556
1.44629,0.368997,1.44629
1.44701,0.369497,1.44701
1.44773,0.369997,1.44773
1.44846,0.370497,1.44846
1.44918,0.370997,1.44918
1.44991,0.371497,1.44991
1.45063,0.371997,1.45063
1.45136,0.372497,1.45136
1.45208,0.372997,1.45208
1.45281,0.373497,1.45281
1.45354,0.373997,1.45354
1.45426,0.374497,1.45426
1.45499,0.374997,1.45499
1.45572,0.375497,1.45572
1.45645,0.375997,1.45645
1.45717,0.376497,1.45717
1.4579,0.376997,1.4579
1.45863,0.377497,1.45863
1.45936,0.377997,1.45936
1.46009,0.378497,1.46009
1.46082,0.378997,1.46082
1.46155,0.379497,1.46155
1.46228,0.379997,1.46228
1.46301,0.380497,1.46301
1.46375,0.380997,1.46375
1.46448,0.381497,1.46448
1.46521,0.381997,1.46521
1.46594,0.382497,1.46594
1.46668,0.382997,1.46668
1.46741,0.383497,1.46741
1.46814,0.383997,1.46814
1.46888,0.384497,1.46888
1.46961,0.384997,1.46961
1.47035,0.385497,1.47035
1.47108,0.385997,1.47108
1.47182,0.386497,1.47182
1.47256,0.386997,1.47256
1.47329,0.387497,1.47329
1.47403,0.387997,1.47403
1.47477,0.388497,1.47477
1.4755,0.388997,1.4755
1.47624,0.389497,1.47624
1.47698,0.389997,1.47698
1.47772,0.390497,1.47772
1.47846,0.390997,1.47846
1.4792,0.391497,1.4792
1.47994,0.391997,1.47994
1.48068,0.392497,1.48068
1.48142,0.392997,1.48142
1.48216,0.393497,1.48216
1.4829,0.393997,1.4829
1.48364,0.394497,1.48364
1.48438,0.394997,1.48438
1.48513,0.395497,1.48513
1.48587,0.395997,1.48587
1.48661,0.396497,1.48661
1.48735,0.396997,1.48735
1.4881,0.397497,1.4881
1.48884,0.397997,1.48884
1.48959,0.398497,1.48959
1.49033,0.398997,1.49033
1.49108,0.399497,1.49108
1.49182,0.399997,1.49182
1.49257,0.400497,1.49257
1.49332,0.400997,1.49332
1.49406,0.401497,1.49406
1.49481,0.401997,1.49481
1.49556,0.402497,1.49556
1.49631,0.402997,1.49631
1.49705,0.403497,1.49705
1.4978,0.403997,1.4978
1.49855,0.404497,1.49855
1.4993,0.404997,1.4993
1.50005,0.405497,1.50005
1.5008,0.405997,1.5008
1.50155,0.406497,1.50155
1.5023,0.406997,1.5023
1.50305,0.407497,1.50305
1.50381,0.407997,1.50381
1.50456,0.408497,1.50456
1.50531,0.408997,1.50531
1.50606,0.409497,1.50606
1.50682,0.409997,1.50682
1.50757,0.410497,1.50757
1.50832,0.410996,1.50832
1.50908,0.411496,1.50908
1.50983,0.411996,1.50983
1.51059,0.412496,1.51059
1.51134,0.412996,1.51134
1.5121,0.413496,1.5121
1.51286,0.413996,1.51286
1.51361,0.414496,1.51361
1.51437,0.414996,1.51437
1.51513,0.415496,1.51513
1.51588,0.415996,1.51588
1.51664,0.416496,1.51664
1.5174,0.416996,1.5174
1.51816,0.417496,1.51816
1.51892,0.417996,1.51892
1.51968,0.418496,1.51968
1.52044,0.418996,1.52044
1.5212,0.419496,1.5212
1.52196,0.419996,1.52196
1.52272,0.420496,1.52272
1.52348,0.420996,1.52348
1.52425,0.421496,1.52425
1.52501,0.421996,1.52501
1.52577,0.422496,1.52577
1.52653,0.422996,1.52653
1.5273,0.423496,1.5273
1.52806,0.423996,1.52806
1.52882,0.424496,1.52882
1.52959,0.424996,1.52959
